counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y,    ctrl.cmd.phi,    ctrl.cmd.theta
2278,2381,36,-12048,-122,-8445,-2,0.003059,-0.068107,-1.371781,0.004150,-2.047852,-0.006348,-3.328125,3.207031,-0.968750,5257,-164,-327,98,7181,7397,8675,8415,0.000166,0.000015,0.000000,-0.383789
2279,-1198,475,-6957,-265,-8563,-128,0.002998,-0.072023,-1.371913,-0.030762,-2.076660,-0.037109,-3.339844,3.207031,-0.988281,5258,-138,-308,110,7234,7489,8615,8364,0.000191,0.000017,0.000000,-0.383789
2280,-1810,-126,-8671,-302,-10252,-54,0.002939,-0.076980,-1.372068,-0.039795,-2.489014,-0.019043,-3.339844,3.207031,-0.988281,5259,-124,-21,119,7254,7508,8569,8328,0.000219,0.000018,0.000000,-0.383789
2281,2157,-1112,-12780,-209,-9932,54,0.002940,-0.081695,-1.371996,-0.017090,-2.410889,0.007324,-3.339844,3.207031,-0.988281,5261,-130,-48,123,7307,7605,8511,8249,0.000250,0.000020,0.000000,-0.383789
2282,1429,-1000,-7706,-2,-8421,-56,0.003002,-0.085554,-1.372067,0.033447,-2.041992,-0.019531,-3.339844,3.207031,-0.988281,5262,-156,-284,131,7346,7667,8431,8238,0.000283,0.000022,0.000000,-0.383789
2283,-2437,178,-5958,257,-9278,-93,0.003187,-0.089904,-1.372115,0.096680,-2.251221,-0.028564,-3.339844,3.207031,-0.988281,5263,-195,-144,142,7397,7678,8417,8184,0.000320,0.000024,0.000000,-0.383789
2284,-381,278,-12862,43,-10838,135,0.003311,-0.095114,-1.372078,0.044434,-2.632080,0.027100,-3.339844,3.207031,-0.988281,5265,-169,129,143,7413,7738,8339,8182,0.000360,0.000026,0.000000,-0.383789
2285,3131,-161,-12836,-322,-9631,274,0.003190,-0.099836,-1.371933,-0.044678,-2.337402,0.061035,-3.339844,3.207031,-0.988281,5267,-117,-40,136,7471,7770,8289,8116,0.000403,0.000028,0.000000,-0.383789
2286,-290,31,-7701,-244,-8484,91,0.003130,-0.103640,-1.371957,-0.025635,-2.057373,0.016357,-3.339844,3.207031,-0.988281,5268,-124,-220,136,7484,7807,8269,8106,0.000451,0.000030,-0.000244,-0.383789
2287,-2964,163,-8526,-233,-10213,161,0.003070,-0.108489,-1.371932,-0.022949,-2.479492,0.033447,-3.339844,3.207031,-0.988281,5270,-120,69,133,7513,7816,8201,8090,0.000502,0.000033,-0.000244,-0.383789
2288,875,-366,-13706,-525,-11056,387,0.002888,-0.113832,-1.371750,-0.094238,-2.685303,0.088623,-3.339844,3.207031,-0.988281,5272,-73,238,118,7537,7862,8157,8058,0.000557,0.000035,-0.000244,-0.383789
2289,2548,-1002,-12079,-551,-9755,368,0.002643,-0.118379,-1.371581,-0.100586,-2.367676,0.083984,-3.339844,3.207031,-0.988281,5274,-62,60,102,7579,7898,8121,8041,0.000616,0.000037,-0.000488,-0.383789
2290,1254,-1066,-8059,-161,-8393,163,0.002644,-0.122253,-1.371483,-0.005371,-2.035156,0.033936,-3.339844,3.207031,-0.988281,5276,-112,-153,94,7599,7923,8103,8021,0.000680,0.000040,-0.000488,-0.383789
2291,-3028,104,-7510,-202,-10180,111,0.002646,-0.127051,-1.371482,-0.015381,-2.471436,0.021240,-3.339844,3.207031,-0.988281,5278,-106,145,88,7627,7944,8077,7986,0.000748,0.000043,-0.000488,-0.383789
